FECHA;cm_nivel;horas_sol;lluvia;evaporacion;max_temp;min_temp
01/01/2013;97;0;;0.75;1.0;1.0
02/01/2013;97;0.7;;0;4.0;4.0
03/01/2013;97;8;;0.9;2.0;2.0
04/01/2013;97;8.2;;0.8;2.0;2.0
05/01/2013;97;3.7;;2;1.0;1.0
06/01/2013;97;3.8;;1.4;0.0;0.0
07/01/2013;97;6;;0.4;1.0;1.0
08/01/2013;97;5.1;;1.35;1.0;1.0
09/01/2013;97;1.6;;1.05;0.0;0.0
10/01/2013;97;1.6;;1.2;1.0;1.0
11/01/2013;97;2.7;;0.8;5.0;5.0
12/01/2013;97;0.1;6;0.6;4.0;4.0
13/01/2013;98;4.7;0.3;2.5;6.0;6.0
14/01/2013;97;6;;1.65;3.0;3.0
15/01/2013;97;3.9;;1.3;0.0;0.0
16/01/2013;98;0;6;0.25;2.0;2.0
17/01/2013;98;6.2;0.7;0;7.0;7.0
18/01/2013;98;0;19;0;6.0;6.0
19/01/2013;104;0.9;10;4.5;10.0;10.0
20/01/2013;104;4;2.9;3;6.0;6.0
21/01/2013;104;3.9;;1.1;6.0;6.0
22/01/2013;106;0.3;6.3;0;4.0;4.0
23/01/2013;106;5;1.3;3.35;4.0;4.0
24/01/2013;106;0;5;0.95;5.0;5.0
25/01/2013;106;0;3.8;0.5;8.0;8.0
26/01/2013;106;2.7;;0;8.0;8.0
27/01/2013;106;0;;1.9;5.0;5.0
28/01/2013;107;2.7;;0.3;6.0;6.0
29/01/2013;108;7.1;;1.1;1.0;1.0
30/01/2013;108;5.1;;1.2;2.0;2.0
31/01/2013;108;5.8;;1.4;2.0;2.0
01/02/2013;108;7.3;;0.35;2.0;2.0
02/02/2013;108;7.5;;3.15;4.0;4.0
03/02/2013;108;6.3;;3.05;3.0;3.0
04/02/2013;108;7;;2.9;0.0;0.0
05/02/2013;108;6.9;;1.75;0.0;0.0
06/02/2013;108;7.7;;1.45;1.0;1.0
07/02/2013;108;8.2;;2.55;1.0;1.0
08/02/2013;107;7.3;;2.9;-1.0;-1.0
09/02/2013;107;7.8;;2.2;0.0;0.0
10/02/2013;107;5.3;;2.35;-1.0;-1.0
11/02/2013;108;3.4;3;0.7;0.0;0.0
12/02/2013;107;5.7;;3.7;5.0;5.0
13/02/2013;107;3.6;;1.95;1.0;1.0
14/02/2013;107;7;;1.4;1.0;1.0
15/02/2013;107;8.2;;1.5;2.0;2.0
16/02/2013;107;6.6;;1.9;4.0;4.0
17/02/2013;107;0;;2.65;5.0;5.0
18/02/2013;107;1.9;3;0.75;9.0;9.0
19/02/2013;107;0;17;2.5;8.0;8.0
20/02/2013;111;1.1;;0.55;7.0;7.0
21/02/2013;114;1.1;9;1.15;6.0;6.0
22/02/2013;114;0.4;13.6;0.85;8.0;8.0
23/02/2013;114;3.6;;0.45;8.0;8.0
24/02/2013;114;8.5;;1.3;1.0;1.0
25/02/2013;114;8.5;;2.65;1.0;1.0
26/02/2013;115;8.7;;2.25;0.0;0.0
27/02/2013;115;6.6;24.3;1.3;0.0;0.0
28/02/2013;118;2.5;;7.9;1.0;1.0
01/03/2013;117;6.3;;0.5;0.0;0.0
02/03/2013;117;0.4;;0.6;1.0;1.0
03/03/2013;118;4.5;;2.8;3.0;3.0
04/03/2013;118;0;0.2;3.05;9.0;9.0
05/03/2013;118;1.2;15;1.2;10.0;10.0
06/03/2013;123;3.6;17.8;1.2;11.0;11.0
07/03/2013;126;0.6;4.5;1.75;11.0;11.0
